Gene	unscaled_hpd_low	unscaled_hpd_high	unscaled_hpd_map	log10_ci_low	log10_ci_high	log10_map	2.5th	97.5th	mean	median
ABCD3	0.0139706327	0.0689683487	0.0336193894	-1.76463364	-1.12181988	-1.41996139	0.0171470703951278	0.0746231396970337	0.0391199912100159	0.0367965549108341
ABCD4	5.006e-07	0.013317725	0.0001794955	-5.70317079	-1.65274684	-2.23068503	1.1698500527777e-06	0.0150539668499373	0.00343103160777978	0.00154517377122174
ABCE1	0.0943366487	0.4894961496	0.1968207171	-0.98808148	-0.30104486	-0.37074422	0.0859830473569661	0.485676341183119	0.280789471417988	0.274466033279452
ABCF1	9.56204e-05	0.0285122062	0.0126444352	-2.50868117	-1.40778058	-1.80498747	0.00156988550664407	0.03160757513225	0.0145663113069209	0.0137889484604454
ABCF2	0.0260494927	0.3253312858	0.0921500355	-1.34779668	-0.42315987	-0.93809662	0.0443552630847492	0.371036583599977	0.146679713236914	0.125217114273346
ABCF3	5.026e-07	0.0148013932	0.0003203297	-5.61229497	-1.53444292	-2.20155138	1.26724464195107e-06	0.0170352620049507	0.00417788514337588	0.00242846367404132
ABCG1	5.143e-07	0.0508506789	0.0197215347	-2.4779627	-1.09321047	-1.59449078	0.00119828793618132	0.0590597160069099	0.0241846035259545	0.0220985962405253
ABCG4	5.005e-07	0.0070040256	8.59093e-05	-6.04610668	-2.04533037	-2.86118428	8.38827237024438e-07	0.00842506700989945	0.0012285189112347	0.000184733744862111
ABHD10	5.008e-07	0.0093038732	9.96839e-05	-6.01360384	-1.90897301	-2.68333919	8.88199777117205e-07	0.0111006604989251	0.00162729238773998	0.000231489387842192
ABHD11	5.001e-07	0.0219091394	0.0002168818	-5.94863931	-1.49444349	-2.0468812	9.05557473287612e-07	0.0253783502446426	0.00419674025295629	0.000579946379763333
ABHD12	5.041e-07	0.0360542866	0.0135382084	-3.50862842	-1.16367903	-1.7192768	2.69053463303757e-05	0.0408881007740099	0.0161863843704251	0.014984139396761
ABHD14A	5.002e-07	0.0116336384	0.0001159656	-6.0704277	-1.84147996	-2.45176523	8.10483267295193e-07	0.0136771582004864	0.00187050235021756	0.000178493761458006
ABHD14A-ACY1	5.007e-07	0.0171935442	0.0002032488	-5.81053127	-1.55505261	-2.13096246	1.05224848306991e-06	0.019865043300651	0.00395020104550643	0.00121582526560613
ABHD15	5.002e-07	0.0069540731	0.0003978472	-6.13855177	-2.23976359	-3.53837585	8.49539185237368e-07	0.00710667370237815	0.00172762492839497	8.48567328418682e-05
ABHD16A	0.0097369168	0.0713249295	0.0291022198	-1.84488472	-1.08818721	-1.45252305	0.0136585073670669	0.0779917980556463	0.0375136867920343	0.0347230752716737
ABHD16B	5.001e-07	0.004383881	4.94764e-05	-6.16724834	-2.33617636	-3.60538024	7.51435991692647e-07	0.00545267456240662	0.000680433169904186	7.30810439040029e-05
ABHD17A	5.033e-07	0.4291922005	0.0710322294	-1.57308381	-0.30105274	-0.67306183	0.0161795691768747	0.464507007755057	0.181932391432727	0.151016560780726
ABHD17B	0.0127567194	0.4467155589	0.0867923485	-1.4203639	-0.30103764	-0.60091019	0.0272178825838305	0.469144868701989	0.197500346051059	0.170390752611241
ABHD17C	5.11e-07	0.4292097165	0.0667830622	-1.65558376	-0.30103502	-0.70560157	0.0111992067056258	0.464484538270096	0.1765600824057	0.144599898803789
ABHD2	0.0382707388	0.4639768189	0.134567355	-1.22504665	-0.30103499	-0.58225593	0.0479248665452425	0.475425763085233	0.227667798651302	0.208112854497457
ABHD3	5.001e-07	0.0049045734	6.10443e-05	-6.13685659	-2.26056287	-3.28236702	7.63039024523249e-07	0.00599703805399312	0.000791724516261571	9.55313950456138e-05
ABHD4	5.006e-07	0.0183859905	0.0002576404	-5.6185798	-1.49458672	-2.06868667	1.32644136132165e-06	0.0208967046755821	0.00516448595147073	0.00279657813951821
ABHD5	5.024e-07	0.0355286909	0.0131487297	-3.75236548	-1.16224084	-1.73146907	1.61983511585303e-05	0.0400191749756553	0.0155187215310603	0.0142953358492065
ABHD6	5.001e-07	0.0148405043	0.0001401707	-5.96636256	-1.67087668	-2.28084082	8.79256141110894e-07	0.0172857216221126	0.00275317673992462	0.000406099834597289
ABHD8	0.0393501869	0.4641190623	0.1098563776	-1.21870824	-0.30103813	-0.55033033	0.048690283847844	0.475773541308085	0.228605602269719	0.209764945946542
ABI1	0.016400743	0.3832781386	0.084784693	-1.37802203	-0.33670779	-0.84779903	0.0364965642532911	0.424173646664863	0.161203973721012	0.134127392984346
ABI2	0.0034410024	0.1344035964	0.0371030575	-1.85081807	-0.76147867	-1.30190419	0.013172327588282	0.161751726577434	0.0581360719476854	0.0483711213220908
ABI3	5.001e-07	0.0393815035	0.0004605585	-5.6411262	-1.14740653	-1.78499129	1.3288204123307e-06	0.0460223731087523	0.0105384912178969	0.00527589645961198
ABI3BP	5.013e-07	0.0195386552	0.0005925665	-4.81635161	-1.41265847	-2.08808805	4.23687465424468e-06	0.02271432801685	0.00668568435357886	0.00504141105196556
ABL1	0.1053272053	0.492951515	0.2262396944	-0.952971	-0.30103437	-0.36774417	0.0929730149331378	0.486951769279719	0.29048992674552	0.28807415863539
ABLIM1	0.0216092452	0.2281903776	0.0703887334	-1.45635438	-0.5795816	-1.06822104	0.0354813202701284	0.265287535531532	0.106200790439512	0.0914425609071782
ABLIM2	0.0124740814	0.0782715135	0.0347982101	-1.76012033	-1.04674822	-1.42991315	0.016651068961481	0.0860897878032441	0.042241521481884	0.039048041736489
ABLIM3	0.0037480378	0.0318849172	0.0148676342	-2.2320529	-1.42393406	-1.71940251	0.00463890333000388	0.033091710417369	0.0174737136372067	0.0169557679283936
ABR	0.0107947911	0.0824905968	0.033175333	-1.80032544	-1.02591409	-1.39683872	0.0155173821028259	0.0916348900031563	0.0427567618111844	0.0390197183258464
ABRA	5.007e-07	0.0857708192	0.0220892951	-4.12243179	-0.69263336	-1.5022809	9.06903620363901e-06	0.104472546405001	0.0317697071447186	0.0260669108721542
ABRACL	5.009e-07	0.3866208134	0.0057522908	-5.20785898	-0.30111159	-0.85931038	2.20498542011145e-06	0.430447011664741	0.105775670494361	0.0595341250847295
ABT1	5.007e-07	0.2124612056	0.0034998535	-5.27702997	-0.34934351	-1.33668142	2.01410056487077e-06	0.266297136200986	0.0513084777783365	0.0265339901433734
ABTB2	0.013080939	0.1039978963	0.0402694387	-1.71332165	-0.92208359	-1.34507249	0.0192564090130652	0.117896037771366	0.0526721368731366	0.0472316779336525
AC002553.1	5.002e-07	0.3098182407	0.0017494713	-5.80865693	-0.36152566	-1.02478517	9.84138917989684e-07	0.351468905510093	0.0461393251394329	0.00198432079289662
AC003002.4	5.001e-07	0.3530436217	0.0032508971	-5.57160594	-0.30119371	-0.94648906	1.21515500069983e-06	0.398880789430032	0.0711279692402544	0.0166391868467473
AC003002.6	5.003e-07	0.3769263886	0.0045026012	-5.58641088	-0.30104406	-0.88930749	1.59048965224733e-06	0.422681223397067	0.0922884871418436	0.0418095774964613
AC003006.7	5.002e-07	0.3526330957	0.0030016287	-5.61952965	-0.30108343	-0.96138714	1.21716312934275e-06	0.397095661948893	0.0669093062246677	0.0123603104712181
AC003043.1	5.001e-07	0.2610623889	0.0012507965	-5.97976331	-0.51724348	-1.30360622	8.79990324883343e-07	0.304774430291659	0.0323000605135494	0.000658804626653484
AC003101.1	5.023e-07	0.3994235837	0.0075037537	-4.42971938	-0.30105853	-0.83514402	3.32387855771616e-06	0.440186879683064	0.120764995091762	0.0783190165549384
AC004076.7	5e-07	0.2884200141	0.0014987832	-5.90786642	-0.4337941	-1.17207359	9.02503066529628e-07	0.331216496345296	0.0385762950864066	0.00102321763522991
AC004381.6	5.006e-07	0.0097267189	0.0001175077	-5.91902544	-1.84164896	-2.51644285	9.33509074530627e-07	0.0115173940015981	0.00194647252753809	0.000420733015933105
AC005003.1	5.019e-07	0.300273945	0.0017506385	-5.86732689	-0.40023267	-1.06036479	9.41299301431294e-07	0.34340408927775	0.042153989582373	0.00146858546743834
AC005082.1	5.003e-07	0.2951149671	0.0015010823	-5.88659408	-0.41512965	-1.12344869	9.09542086662474e-07	0.340825129117838	0.0400493301602784	0.00118988788709066
AC005358.1	0.0695790967	0.4802555213	0.1762201612	-1.07740437	-0.30103438	-0.44076672	0.0688423097742798	0.482163272293164	0.258166939529085	0.246499618944621
AC005481.5	5.002e-07	0.3001244244	0.0017512231	-5.88367665	-0.4031151	-1.05441951	9.17182544673127e-07	0.346248837972914	0.0419672115151785	0.00131803134000017
AC005493.1	5.003e-07	0.2828851664	0.0014998889	-5.96467686	-0.47849424	-1.28581542	8.75365674659382e-07	0.323547659093664	0.035698082640296	0.000789660570751831
AC005544.1	5.003e-07	0.2920240366	0.0015006212	-5.90757023	-0.42426352	-1.1235577	8.94374153340622e-07	0.333433746094658	0.0395306069464199	0.0011176403902862
AC005549.3	5.004e-07	0.2547946673	0.0012507171	-6.00658404	-0.54427427	-1.34861439	8.66582010679945e-07	0.29718085757668	0.030943800849386	0.000560799069125479
AC005609.1	5.001e-07	0.0500511074	0.0005963406	-6.08846506	-1.28953978	-2.24873457	9.48750240064614e-07	0.062364510459654	0.00800329860119259	0.000256736539904668
AC005841.1	5.047e-07	0.412409185	0.0117550274	-4.20337237	-0.30107963	-0.76899482	7.97548356681083e-06	0.451214663233133	0.140142072197104	0.100982768549621
AC006486.1	5.004e-07	0.3042477052	0.0017504843	-5.88053559	-0.39729008	-1.07256662	9.04117013625245e-07	0.347249522198039	0.0426471257688613	0.00130996513120774
AC006486.9	5.082e-07	0.4221832611	0.0595262755	-1.803039	-0.30105872	-0.7267697	0.00486491511894188	0.460876115252	0.169868161375801	0.138351415291005
AC006538.4	5.002e-07	0.3216091238	0.0017510915	-5.83864401	-0.3791359	-1.10847096	9.60141767802098e-07	0.352546110186278	0.0443415369166899	0.00171878714869824
AC006547.14	0.017259178	0.4512232093	0.0972986535	-1.37677378	-0.30103237	-0.66549121	0.0313860592947827	0.471829080885231	0.203410419092143	0.177470563180439
AC006946.15	5.006e-07	0.409418129	0.014006235	-3.79148639	-0.30106891	-0.7932688	1.28375821223851e-05	0.451133951401203	0.138782503327452	0.099648841373915
AC007040.11	5.004e-07	0.0067455193	0.0003972662	-6.13546898	-2.26966331	-3.55039587	8.65803786344534e-07	0.00672727391206316	0.00168910761413062	6.56347370113398e-05
AC007401.2	5.006e-07	0.3628780871	0.0037518196	-5.52018212	-0.30109404	-0.9403498	1.34602536215802e-06	0.408931659856086	0.0790170862706454	0.0261584706035635
AC007956.1	5.001e-07	0.030153313	0.0002255211	-6.13411208	-1.49069245	-2.4854982	8.12591978021613e-07	0.0361408419833882	0.00458333290716536	0.000192254906451206
AC008372.1	5.002e-07	0.2534139026	0.0012500731	-6.01277833	-0.5625041	-1.51390109	8.84133616498328e-07	0.292979631033375	0.0295486002876117	0.000515743132070673
AC008686.1	5.004e-07	0.3428010081	0.0025008688	-5.66741839	-0.30118277	-1.00347535	1.13040836511592e-06	0.390645037078888	0.0611860599802252	0.00755055577011728
AC009041.2	5.001e-07	0.2543602803	0.0012510399	-6.01276336	-0.55017722	-1.24650688	8.57401164970046e-07	0.297292900004109	0.0306978177147019	0.000560424233885247
AC009802.1	5.001e-07	0.2738662975	0.0015011346	-5.96482052	-0.49315662	-1.25852924	8.94762129678638e-07	0.313737544416641	0.0336182226702923	0.0006793891113884
AC009892.10	5.001e-07	0.2734196412	0.0015000566	-5.9468317	-0.48145354	-1.31281529	8.90140924090553e-07	0.316116520054696	0.0344624106937735	0.000717577474865289
AC010441.1	5.001e-07	0.1187999097	0.0009938062	-6.01467117	-0.891009	-2.01549937	1.05901257815725e-06	0.151315198228024	0.01619199450378	0.000670272927758726
AC011308.1	5.001e-07	0.2692250186	0.0015003582	-5.95275287	-0.48736903	-1.36675259	8.99236677428116e-07	0.311355635399496	0.0346171215878333	0.000785204892276054
AC011475.1	5.004e-07	0.2638299726	0.0015009524	-5.95549693	-0.49619807	-1.46560628	9.01247749378291e-07	0.307438030054298	0.0334192476681703	0.000772222122187274
AC011500.1	5.004e-07	0.3666565523	0.0037520971	-5.5053718	-0.30106188	-0.94934962	1.43311317726808e-06	0.412054559800105	0.0806810767739213	0.0287124383430444
AC011897.1	5.019e-07	0.3909361077	0.0057532332	-4.33993257	-0.30104052	-0.86816578	2.1453365341742e-06	0.433790007994432	0.107160859440456	0.0602263923393692
AC011997.1	5.013e-07	0.0144789387	0.0003971709	-6.08447658	-1.84163835	-3.28738991	9.31320960028187e-07	0.0164923030034058	0.00307853778134643	0.00012744653988963
AC012123.1	5.006e-07	0.3784222351	0.0047526572	-5.37315672	-0.30104963	-0.87428777	1.61327998659472e-06	0.422693489989845	0.0948911865736002	0.0447647096967285
AC013468.1	5.001e-07	0.2379875431	0.0013910755	-5.84053164	-0.516195	-1.22158106	1.06824589136003e-06	0.273677481176206	0.0306309655204054	0.00084491136298261
AC015987.2	5.004e-07	0.301818337	0.0017508938	-5.87151924	-0.39719	-1.09948882	9.21407127149638e-07	0.346906075395073	0.0425137285845636	0.00143105662786928
AC015989.1	5.001e-07	0.2704459395	0.0015001976	-5.96476934	-0.49941954	-1.56187633	8.81533063294093e-07	0.315965853094549	0.0334510362022584	0.00070909169448894
AC016757.3	5e-07	0.3045447034	0.0017507541	-5.87180629	-0.39422753	-1.05453839	9.2569378512102e-07	0.347119180769745	0.0429835411643024	0.00142332185648588
AC017028.1	5.009e-07	0.3543006455	0.0032509609	-5.61303771	-0.30118529	-0.96141554	1.18134118425163e-06	0.39863247057475	0.06989294531341	0.0157433702732842
AC017104.2	5e-07	0.3379619901	0.0025002152	-5.67072499	-0.30129625	-0.96459628	1.114705796629e-06	0.382102087565379	0.0606798304402656	0.00761508639681156
AC018470.1	5.345e-07	0.4179424479	0.049023045	-2.03349813	-0.30104726	-0.72221204	0.000712331615641007	0.457623258263008	0.158298303011798	0.123080914863286
AC018755.1	5.004e-07	0.389681738	0.0057531759	-5.2142057	-0.30104473	-0.84728498	2.00754208284969e-06	0.431513703170903	0.105045656573855	0.0571197257550853
AC018816.3	5.021e-07	0.4089430096	0.0102553295	-4.24379277	-0.30104227	-0.7871348	6.60337307801912e-06	0.44789750510238	0.134051843239562	0.0944629788359603
AC018867.1	5.005e-07	0.2426181424	0.0013902906	-5.86089469	-0.51052667	-1.50800289	9.95578812962023e-07	0.278033374590978	0.0308510751426859	0.000763052027036696
AC018867.2	5.003e-07	0.277855438	0.001501067	-5.94662422	-0.47215973	-1.20148806	9.06081408281922e-07	0.322201406369878	0.0363212333874986	0.000814468995097488
AC019171.1	5.003e-07	0.3436707417	0.0030019872	-5.65544269	-0.30103158	-1.02135594	1.13487876708808e-06	0.389041816877217	0.065191025970335	0.013278651956725
AC022400.2	5e-07	0.2540797008	0.0012508898	-5.9948595	-0.53822581	-1.31860246	8.62400084645438e-07	0.296156162797023	0.0306456289417633	0.000550956402810794
AC022532.1	5.002e-07	0.1530650706	0.0014986853	-5.88367357	-0.64388908	-1.52618956	1.04062652188431e-06	0.189562979873775	0.0266326488827387	0.00351204854862104
AC024580.1	5.006e-07	0.3761387092	0.0045021547	-5.52620097	-0.30108716	-0.90132998	1.58060933229106e-06	0.421000687422663	0.0918864866050336	0.0415716216758537
AC024592.12	5.001e-07	0.3926735174	0.0050027041	-5.52658801	-0.30105536	-0.88633903	1.7514369984846e-06	0.428043393510857	0.0990753463102897	0.0507883874072088
AC026202.1	5.001e-07	0.0363562136	0.0003978303	-6.1150284	-1.46062749	-2.8005755	9.36321466698361e-07	0.0444759173326793	0.00575250237381437	0.000184702103429723
AC027763.2	5.005e-07	0.3248919896	0.0022514808	-5.73635725	-0.3100614	-1.02136235	1.02889135638954e-06	0.369678014585578	0.0538933336295956	0.00416340319651857
AC037459.4	5.002e-07	0.0333432973	0.0003822879	-5.84126905	-1.26246566	-1.85908032	1.05519949132837e-06	0.0390345367726394	0.00767576884675207	0.00213640633468984
AC040160.1	5.002e-07	0.4189552267	0.0457728673	-2.70517689	-0.30103449	-0.75124842	7.14324990404981e-05	0.456018524873779	0.154750258250196	0.119636343464281
AC068533.7	5.007e-07	0.0099239719	0.0003974395	-6.06733299	-2.00091245	-3.34359848	9.12331007023355e-07	0.0106507081618716	0.00229465209081679	0.000137833074609029
AC068987.1	5.001e-07	0.3019726213	0.0017503385	-5.85375145	-0.38832549	-1.09063723	9.26194875081459e-07	0.345191547666695	0.0431281213830567	0.00164648552111997
AC069368.3	5.004e-07	0.0221996354	0.0002841954	-5.7415272	-1.42515486	-1.97919668	1.13800655932117e-06	0.025326648226841	0.00564461387538731	0.00234164200140794
AC073063.1	5e-07	0.2771378989	0.0015012441	-5.95882756	-0.48412188	-1.38156541	8.94694999743387e-07	0.318290184401219	0.0351728959470713	0.000773078383849784
AC073569.1	5.001e-07	0.2730067929	0.0012505289	-6.00684668	-0.53834521	-1.33671041	8.49891555710648e-07	0.298639753907392	0.0311636789643605	0.000592842657910049
AC073610.5	5.001e-07	0.3694294496	0.0040024386	-5.51457904	-0.30103634	-0.93734668	1.39516221082713e-06	0.413413026022173	0.0818723417838098	0.0290396371801829
AC074212.3	0.0296006702	0.4587107032	0.0953675343	-1.28252972	-0.30105494	-0.6257253	0.0415670647310468	0.473849708627694	0.217536475475515	0.195762779159586
AC087645.1	5.002e-07	0.3994270424	0.0077539271	-4.77915933	-0.30105477	-0.84130867	3.5374164512744e-06	0.441452660658553	0.120786443037195	0.0776734820132833
AC090427.1	5.007e-07	0.220534559	0.0011925766	-5.93451189	-0.58991001	-2.78264287	9.79140320488418e-07	0.254692088050436	0.0263798443299498	0.000546726441725606
AC093157.1	5.001e-07	0.2919639681	0.0015003125	-5.89873917	-0.4243547	-1.06363315	9.02188651718638e-07	0.336995633830015	0.0393580988747	0.0010949650039715
AC103809.2	5.001e-07	0.3363872145	0.0022514149	-5.70363899	-0.30107022	-1.03942129	1.06407728706659e-06	0.381074389574761	0.0569712249259645	0.00550877315367972
AC104534.3	0.0177594198	0.4502241496	0.0925465535	-1.36999645	-0.30103098	-0.58233768	0.0320331056276183	0.471552467109178	0.20367640755662	0.177608341018655
