SYMBOL	chromosome	AF_nfe_orig	AN_nfe_orig	NFE_k_orig	Feature	mu_lof	AN_nfe	AF_nfe	AF_nfe_downsampled	controls_AF_nfe	duplicates_issue	flag1
ABCA5	17	0.00037729062999999994	105672	39	ENST00000392676	4.0619e-06	105672.486516236	0.00037729063	0.000265089129812443	0.0003819716	NA	
ABCA6	17	0.00054111809	107995	58	ENST00000284425	3.5717e-06	107995.98979071	0.00054111809	0.000499963780393753	0.0004783428	NA	
ABCA7	19	0.00170095458	104064	177	ENST00000263094	5.1312e-06	104064.879865449	0.00170095458	0.0016539537414668	0.0016803811	NA	
ABCA8	17	0.00118113132	109728	129	ENST00000269080	3.9326e-06	109728.587668593	0.00118113132	0.00146005961514483	0.0011781242	NA	
ABCA9	17	0.0034708047799999996	110192	382	ENST00000340001	4.5712e-06	110192.078567877	0.00347080478	0.00379474799575743	0.0036851162	NA	
ABCB1	7	0.00011453332	112571	12	ENST00000265724	3.6547e-06	112571.103573592	0.00011453332	7.01568401603374e-05	0.000140317	NA	
ABCB10	1	9.679241e-05	111567	10	ENST00000344517	1.3156e-06	111567.352859135	9.679241e-05	7.01557485183216e-05	2.3382e-05	NA	
ABCB11	2	0.00014597938999999998	106974	15	ENST00000263817	3.3980e-06	106974.846105919	0.00014597939	0.000147192244876708	0.0001942489	NA	
ABCB4	7	0.00010588883	111946	11	ENST00000265723	3.6960e-06	111946.949175824	0.00010588883	0.000140391439145986	0.0001173602	NA	
ABCB5	7	0.007832803040000001	109568	858	ENST00000404938	3.9104e-06	109568.32357637	0.00783280304	0.00855400233936198	0.0075943985	NA	
ABCB6	2	0.00048314032999999994	110192	53	ENST00000265316	2.6374e-06	110192.290636042	0.00048314033	0.000658771604625193	0.0005248486	NA	
ABCB7	X	0.0168678	77345	1304	ENST00000253577	2.0954e-06	77345.8230616302	0.0168678	0.0175757772651961	0.0156915	NA	
ABCB8	7	0.00015088674	107790	16	ENST00000358849	1.8817e-06	107790.107250107	0.00015088674	0.000117241522386169	0.0001879038	NA	
ABCB9	12	6.339155e-05	103583	6	ENST00000542678	1.2667e-06	103583.751751752	6.339155e-05	2.34874107478392e-05	7.48992e-05	NA	
ABCC1	16	0.00017166171000000002	110083	18	ENST00000399410	3.9203e-06	110083.836612489	0.00017166171	7.069409568339e-05	0.0001177444	NA	
ABCC10	6	0.00048606108	110063	53	ENST00000372530	3.8214e-06	110063.487528345	0.00048606108	0.000445172970506987	0.0004693344	NA	
ABCC11	16	0.019795317439999998	111293	2203	ENST00000394747	3.4494e-06	111293.823874755	0.01979531744	0.0187147941820213	0.0197218762	NA	
ABCC12	16	0.04129052196000001	112409	4641	ENST00000311303	3.5965e-06	112409.930677703	0.04129052196	0.0411823671334871	0.0428157946	NA	
ABCC2	10	0.0014620953899999998	113130	165	ENST00000370449	4.3026e-06	113130.494337765	0.00146209539	0.00145081205852117	0.0014511559	NA	
ABCC3	17	0.0016720884699999998	110539	184	ENST00000285238	3.5819e-06	110539.162393162	0.00167208847	0.00180465980835411	0.0018009446	NA	
ABCC4	13	0.0001413597	110418	15	ENST00000376887	3.5537e-06	110418.379037172	0.0001413597	0.000116938280868757	0.0001641544	NA	
ABCC5	3	8.842978e-05	110584	9	ENST00000334444	4.3090e-06	110584.058333333	8.842978e-05	0.000141237365053609	0.0001407376	NA	
ABCC6	16	0.00315587948	109424	345	ENST00000205557	3.6107e-06	109424.872451399	0.00315587948	0.00306429069409651	0.0028298028	NA	
ABCC8	11	0.00053962102	108967	58	ENST00000389817	4.5578e-06	108967.615320566	0.00053962102	0.00045972980346634	0.0005375998	NA	
ABCC9	12	0.00030521452000000003	112483	34	ENST00000261200	4.2552e-06	112483.480889903	0.00030521452	0.000351010819012016	0.000187217	NA	
ABCD1	X	0.0	74164	0	ENST00000218104	1.3381e-06	74164.962006079	0	0	0	NA	
ABCD2	12	0.00010704957	109439	11	ENST00000308666	1.4158e-06	109439.873817035	0.00010704957	4.67704980911704e-05	0.000140331	NA	
ABCD3	1	8.894284e-05	109456	9	ENST00000370214	3.1172e-06	109456.196685083	8.894284e-05	9.36912356557956e-05	7.0226e-05	NA	
ABCD4	14	0.00018552001	111278	20	ENST00000356924	2.0306e-06	111278.046822742	0.00018552001	0.000188747960958497	0.0001872652	NA	
ABCE1	4	8.83783e-06	107343	0	ENST00000296577	2.2074e-06	107343.936363636	8.83783e-06	0	0	NA	
ABCF1	6	0.00019599553	108850	21	ENST00000326195	3.1633e-06	108850.333030027	0.00019599553	0.000116909839132061	0.0001875907	NA	
ABCF2	7	2.638509e-05	112290	2	ENST00000222388	2.2513e-06	112290.969915764	2.638509e-05	0	2.3382e-05	NA	
ABCF3	3	0.00018714262	111249	20	ENST00000429586	2.1421e-06	111249.972677596	0.00018714262	0.000235173927835734	0.0002111351	NA	
ABCG1	21	6.195102e-05	108467	6	ENST00000361802	1.4269e-06	108467.404461688	6.195102e-05	9.41445292013916e-05	2.33962e-05	NA	
ABCG2	4	0.0009617675099999999	111452	107	ENST00000237612	2.2175e-06	111452.465723613	0.00096176751	0.00119609171005804	0.0007271763	NA	
ABCG4	11	0.00017686792000000002	112451	19	ENST00000307417	1.3765e-06	112451.139784946	0.00017686792	9.44930742115516e-05	0.0002828396	NA	
ABCG5	2	0.00033621662000000004	106996	35	ENST00000260645	1.7615e-06	106996.718045113	0.00033621662	0.000234431933821995	0.0003307934	NA	
ABCG8	2	0.00162904693	110940	180	ENST00000272286	1.5852e-06	110940.680972818	0.00162904693	0.00201088315861392	0.001706964	NA	
ABHD1	2	0.00057437946	111217	63	ENST00000316470	1.0538e-06	111217.198733175	0.00057437946	0.000584772515030168	0.0007486498	NA	
ABHD10	3	0.00012451719	109372	13	ENST00000273359	1.0796e-06	109372.481236203	0.00012451719	0.00028116689540429	0.0001409466	NA	
ABHD11	7	5.52053e-05	107235	5	ENST00000222800	6.3447e-07	107235.773913043	5.52053e-05	2.51927243412103e-05	4.70126e-05	NA	
ABHD12	20	8.007920999999999e-05	111136	8	ENST00000376542	1.4844e-06	111136.465890183	8.007921e-05	7.07746924718795e-05	0.0001656206	NA	
ABHD12B	14	0.01274042626	111156	1416	ENST00000337334	8.0002e-07	111156.213872832	0.01274042626	0.0125350345078378	0.0141261916	NA	
ABHD13	13	0.0	109097	0	ENST00000375898	6.5447e-07	109097.079812207	0	0	0	NA	
ABHD14A	3	6.976556999999999e-05	105761	7	ENST00000273596	6.3178e-07	105761.733118971	6.976557e-05	2.33830613103868e-05	0.0001451138	NA	
ABHD14A-ACY1	3	9.63369e-05	108388	10	ENST00000463937	1.1713e-06	108388.410958904	9.63369e-05	9.37604498288391e-05	0.0001684723	NA	
ABHD14B	3	0.00019531879	108047	21	ENST00000483233	3.6608e-07	108047.487272727	0.00019531879	0.000163850007022143	9.36286e-05	NA	
ABHD15	17	0.00014701148	107358	15	ENST00000307201	7.1472e-07	107358.306068602	0.00014701148	0.000143110303976008	0.0002168544	NA	
ABHD16A	6	7.205076e-05	108176	7	ENST00000395952	2.3234e-06	108176.650650651	7.205076e-05	4.69010154327757e-05	9.36835e-05	NA	
ABHD16B	20	0.000131772	92009	12	ENST00000369916	6.1291e-07	92009.7903682719	0.000131772	8.09315628135126e-05	0.0002091489	NA	
ABHD17A	19	8.96893e-06	102005	0	ENST00000250974	5.6013e-07	102005.045	8.96893e-06	0	0	NA	
ABHD17B	9	8.93943e-06	108836	0	ENST00000377041	6.5065e-07	108836.976190476	8.93943e-06	0	0	NA	
ABHD17C	15	0.0	104063	0	ENST00000258884	5.0869e-07	104063.227848101	0	0	0	NA	
ABHD2	15	8.798020000000001e-06	112291	0	ENST00000352732	9.9771e-07	112291.956600362	8.79802e-06	0	0	NA	
ABHD3	18	0.00016859061999999997	108055	18	ENST00000289119	1.0326e-06	108055.02832244	0.00016859062	0.000164174411547788	0.0002815421	NA	
ABHD4	14	0.00011715803999999998	108677	12	ENST00000428304	1.4777e-06	108677.197530864	0.00011715804	0.000224850784243222	0.0001969912	NA	
ABHD5	3	7.917997e-05	107587	8	ENST00000458276	1.4963e-06	107587.842553191	7.917997e-05	7.01459034792368e-05	9.35279e-05	NA	
ABHD6	3	8.006092e-05	112085	8	ENST00000478253	8.1663e-07	112085.14790287	8.006092e-05	0.000142105751757243	4.78588e-05	NA	
ABHD8	19	0.0	107121	0	ENST00000247706	1.0539e-06	107121.153473344	0	0	0	NA	
ABI1	10	1.0627e-05	109387	1	ENST00000376142	1.3514e-06	109387.164933135	1.0627e-05	0	2.73673e-05	NA	
ABI2	2	2.885357e-05	107382	3	ENST00000261017	1.2975e-06	107382.997782705	2.885357e-05	5.14692201085535e-05	2.60756e-05	NA	
ABI3	17	5.031125e-05	98562	4	ENST00000225941	7.6951e-07	98562.2309782609	5.031125e-05	9.27213722763097e-05	6.98802e-05	NA	
ABI3BP	3	0.00027788421	104564	29	ENST00000284322	3.3227e-06	104564.948275862	0.00027788421	0.000222332113060324	0.0003558833	NA	
ABL1	9	0.0	110076	0	ENST00000372348	2.4565e-06	110076.070840198	0	0	0	NA	
ABL2	1	0.00064352384	110928	71	ENST00000502732	3.2128e-06	110928.386748844	0.00064352384	0.000607931163486719	0.0005846016	NA	
ABLIM1	10	3.536281e-05	109076	3	ENST00000277895	2.4816e-06	109076.677940046	3.536281e-05	0	7.03556e-05	NA	
ABLIM2	4	7.22516e-05	105695	7	ENST00000447017	2.6420e-06	105695.511777302	7.22516e-05	7.08925377457944e-05	9.76466e-05	NA	
ABLIM3	5	0.00015000985	110982	16	ENST00000506113	2.8850e-06	110982.68173913	0.00015000985	0.000187071052307497	0.000164629	NA	
ABR	17	6.356935e-05	106304	6	ENST00000302538	2.2579e-06	106304.896992962	6.356935e-05	4.67825334761413e-05	5.18883e-05	NA	
ABRA	8	3.533731e-05	112554	3	ENST00000311955	8.1065e-07	112554.982630273	3.533731e-05	2.33819678264123e-05	4.71384e-05	NA	
ABRACL	6	8.84033e-06	108272	0	ENST00000367660	2.3588e-07	108272.384	8.84033e-06	2.34752805296023e-05	0	NA	
ABT1	6	1.761544e-05	110331	1	ENST00000274849	3.8218e-07	110331.83197832	1.761544e-05	2.33819678264123e-05	2.34489e-05	NA	
ABTB1	3	0.00623919914	107076	668	ENST00000232744	1.4347e-06	107076.57659372	0.00623919914	0.00642648354038656	0.0067449391	NA	
ABTB2	11	5.3149669999999995e-05	106166	5	ENST00000435224	2.2434e-06	106166.44137931	5.314967e-05	7.01623137208624e-05	7.02346e-05	NA	
AC002310.13	16	6.11297e-05	97258	5	ENST00000568114	1.1248e-07	97258.9671772429	6.11297e-05	2.69541778975741e-05	8.08625e-05	NA	
AC002365.1	X	NA	NA	NA	ENST00000445307	6.7282e-07	NA	0	0	0	NA	AN_too_low
AC002472.13	22	NA	NA	NA	ENST00000342608	8.6578e-07	NA	0	0	0	NA	AN_too_low
AC002553.1	17	0.0	101382	0	ENST00000442828	8.1983e-08	101382.236111111	0	0	0	NA	
AC003002.4	19	8.79832e-06	109579	0	ENST00000597658	1.4407e-07	109579.082533589	8.79832e-06	0	0	NA	
AC003002.6	19	0.0	111039	0	ENST00000596400	1.9246e-07	111039.480420248	0	0	0	NA	
AC003006.7	19	0.0	111589	0	ENST00000594684	1.3591e-07	111589.16864175	0	0	0	NA	
AC003043.1	17	0.0	110620	0	ENST00000597382	1.4670e-08	110620.601960784	0	0	0	NA	
AC003101.1	17	8.82099e-06	102614	0	ENST00000412403	2.8256e-07	102614.1	8.82099e-06	2.33983808320464e-05	0	NA	
AC003102.1	17	0.0	111135	0	ENST00000399246	NA	111135.62987013	0	0	0	NA	
AC004076.7	19	0.0	110715	0	ENST00000597410	4.0492e-08	110715.535420099	0	0	0	NA	
AC004076.9	19	0.007387034399999999	111867	826	ENST00000596831	3.0377e-07	111867.344011142	0.0073870344	0.00675826001728928	0.00671141	NA	
AC004381.6	16	0.00017819261000000003	109037	19	ENST00000261377	1.6743e-06	109037.15451895	0.00017819261	0.000287582196671115	0.0001637625	NA	
AC004466.1	12	0.000110889	106160	11	ENST00000599515	3.6960e-08	106160.885586924	0.000110889	3.08928019771393e-05	0.000123571	NA	
AC004899.1	7	0.0	107291	0	ENST00000596947	NA	107291.41509434	0	0	0	NA	
AC005003.1	22	0.0	109883	0	ENST00000504184	6.2314e-08	109883.687830688	0	0	0	NA	
AC005008.2	7	NA	NA	NA	ENST00000431501	3.8660e-07	NA	0	0	0	NA	AN_too_low
AC005082.1	7	0.0	110020	0	ENST00000366347	5.2559e-08	110020.477137177	0	0	0	NA	
AC005358.1	17	8.93304e-06	109203	0	ENST00000609971	1.5991e-06	109203.033838973	8.93304e-06	0	0	NA	
AC005477.1	14	NA	NA	NA	ENST00000542853	NA	NA	0	0	0	NA	AN_too_low
AC005481.5	7	0.0	111755	0	ENST00000409610	5.6173e-08	111755.656565657	0	0	0	NA	
AC005493.1	7	0.0	112648	0	ENST00000399077	2.6281e-08	112648.444444444	0	0	0	NA	
AC005544.1	17	0.0	112083	0	ENST00000375684	4.4658e-08	112083.827027027	0	0	0	NA	
AC005549.3	17	0.0	109924	0	ENST00000601918	1.0728e-08	109924.039473684	0	0	0	NA	
AC005609.1	5	2.6889920000000003e-05	110502	2	ENST00000502505	1.7647e-07	110502.681222707	2.688992e-05	0	0	NA	
AC005841.1	12	0.0	110270	0	ENST00000382678	3.2193e-07	110270.438202247	0	0	0	NA	
AC006372.1	7	NA	NA	NA	ENST00000444154	NA	NA	0	0	0	NA	AN_too_low
AC006435.1	17	0.00010764993000000001	111435	11	ENST00000609667	2.3044e-07	111435.137466307	0.00010764993	7.07346977270584e-05	0.0001419472	NA	
AC006486.1	19	0.0	107010	0	ENST00000378108	6.2878e-08	107010.690839695	0	0	0	NA	
AC006486.9	19	0.0	105909	0	ENST00000594664	4.5999e-07	105909.077577046	0	0	0	NA	
AC006538.4	19	0.0	105286	0	ENST00000586572	7.2614e-08	105286.51465798	0	0	0	NA	
AC006547.14	22	0.0	102035	0	ENST00000439765	7.5501e-07	102035.977011494	0	0	0	NA	
AC006946.15	22	0.0	86644	0	ENST00000441544	3.8732e-07	86644.0608695652	0	0	0	NA	
AC007040.11	2	0.0001106091	107001	11	ENST00000606025	3.9625e-07	107001.273488929	0.0001106091	7.07234956842126e-05	0.0001006703	NA	
AC007204.1	19	3.16302e-05	106580	3	ENST00000595282	8.5167e-08	106580.026315789	3.16302e-05	5.56947925368978e-05	5.56948e-05	NA	
AC007401.2	2	0.0	99780	0	ENST00000406220	1.7235e-07	99780.6788511749	0	0	0	NA	
AC007421.1	17	NA	NA	NA	ENST00000593717	NA	NA	0	0	0	NA	AN_too_low
AC007557.1	2	NA	NA	NA	ENST00000456163	7.4468e-08	NA	0	0	0	NA	AN_too_low
AC007952.5	17	NA	NA	NA	ENST00000428928	8.6183e-08	NA	0	0	0	NA	AN_too_low
AC007956.1	14	2.71218e-05	107456	2	ENST00000338772	1.4252e-07	107456.557251908	2.71218e-05	4.80445853752282e-05	4.80446e-05	NA	
AC008060.7	7	NA	NA	NA	ENST00000401499	1.0408e-07	NA	0	0	0	NA	AN_too_low
AC008132.13	22	NA	NA	NA	ENST00000342005	NA	NA	0	0	0	NA	AN_too_low
AC008267.1	7	NA	NA	NA	ENST00000600021	NA	NA	0	0	0	NA	AN_too_low
AC008271.1	2	NA	NA	NA	ENST00000436967	2.0560e-07	NA	0	0	0	NA	AN_too_low
AC008372.1	14	0.0	113582	0	ENST00000596936	4.3744e-09	113582.051948052	0	0	0	NA	
AC008394.1	5	NA	NA	NA	ENST00000445770	3.4801e-08	NA	0	0	0	NA	AN_too_low
AC008686.1	19	0.0	107364	0	ENST00000397557	1.2398e-07	107364.410958904	0	0	0	NA	
AC009041.2	16	0.0	98348	0	ENST00000601510	1.2770e-08	98348.3664122137	0	0	0	NA	
AC009065.1	16	0.0001298317	103631	13	ENST00000454671	3.0253e-07	103631.025210084	0.0001298317	0.000151881651439911	9.91179e-05	NA	
AC009365.3	7	NA	NA	NA	ENST00000332558	8.7675e-08	NA	0	0	0	NA	AN_too_low
AC009403.2	7	NA	NA	NA	ENST00000401694	7.9506e-08	NA	0	0	0	NA	AN_too_low
AC009802.1	18	0.0	110126	0	ENST00000599868	1.9592e-08	110126.832167832	0	0	0	NA	
AC009892.10	19	0.0	110217	0	ENST00000456337	2.5682e-08	110217.486291486	0	0	0	NA	
AC010327.2	19	0.0	100663	0	ENST00000598855	NA	100663.085714286	0	0	0	NA	
AC010336.1	19	0.0001611307	109954	17	ENST00000539278	4.7211e-07	109954.111239861	0.0001611307	7.04955911304242e-05	7.05882e-05	NA	
AC010441.1	5	1.773835e-05	96863	1	ENST00000600109	1.5504e-07	96863.8125	1.773835e-05	0.000117613850207	0	NA	
AC010536.1	16	0.0	97827	0	ENST00000538868	NA	97827.2905405405	0	0	0	NA	
AC010646.3	19	1.75874e-05	108273	1	ENST00000594059	2.7421e-08	108273.105322763	1.75874e-05	0	0	NA	
AC011239.1	2	NA	NA	NA	ENST00000430988	7.5299e-08	NA	0	0	0	NA	AN_too_low
AC011294.3	7	NA	NA	NA	ENST00000451905	9.9128e-08	NA	0	0	0	NA	AN_too_low
AC011308.1	2	0.0	110222	0	ENST00000601086	2.6926e-08	110222.136986301	0	0	0	NA	
AC011366.3	5	NA	NA	NA	ENST00000523446	5.1457e-08	NA	0	0	0	NA	AN_too_low
AC011475.1	19	0.0	108792	0	ENST00000430975	2.0985e-08	108792.801652893	0	0	0	NA	
AC011484.1	19	0.0	110589	0	ENST00000377652	NA	110589.108333333	0	0	0	NA	
AC011500.1	19	0.0	112176	0	ENST00000396843	1.6665e-07	112176.828828829	0	0	0	NA	
AC011530.4	19	0.0001955845	104771	20	ENST00000596586	3.5573e-07	104771.67550702	0.0001955845	0.000144696860078136	0.000144697	NA	
AC011897.1	2	0.0	98909	0	ENST00000581929	2.5752e-07	98909.6062992126	0	0	0	NA	
AC011997.1	2	3.740983e-05	109558	4	ENST00000409845	2.3511e-07	109558.85077951	3.740983e-05	0	0	NA	
AC012123.1	18	0.0	105684	0	ENST00000426194	2.0797e-07	105684.109324759	0	0	0	NA	
AC012215.1	8	0.0	112918	0	ENST00000437887	NA	112918.918032787	0	0	0	NA	
AC012313.1	19	0.0	112231	0	ENST00000601382	9.6703e-08	112231.704761905	0	0	0	NA	
AC012360.1	2	NA	NA	NA	ENST00000595481	4.7158e-09	NA	0	0	0	NA	AN_too_low
AC012493.2	2	NA	NA	NA	ENST00000595083	NA	NA	0	0	0	NA	AN_too_low
AC013449.1	2	0.0	108240	0	ENST00000599234	NA	108240.421768707	0	0	0	NA	
AC013468.1	2	0.0	110826	0	ENST00000424876	2.2116e-08	110826.745098039	0	0	0	NA	
AC015987.2	7	0.0	110088	0	ENST00000416501	6.0310e-08	110088.108108108	0	0	0	NA	
AC015989.1	18	0.0	98742	0	ENST00000400312	2.0009e-08	98742.9166666667	0	0	0	NA	
AC015989.2	18	0.0	109706	0	ENST00000593319	NA	109706.909090909	0	0	0	NA	
AC016251.1	15	NA	NA	NA	ENST00000378936	2.5757e-07	NA	0	0	0	NA	AN_too_low
AC016586.1	19	0.0	99584	0	ENST00000535853	NA	99584.1587301587	0	0	0	NA	
AC016745.1	2	0.0	113310	0	ENST00000440617	NA	113310.45	0	0	0	NA	
AC016757.3	2	0.0	105911	0	ENST00000409070	6.5783e-08	105911.854545455	0	0	0	NA	
AC016885.1	8	NA	NA	NA	ENST00000598428	6.5212e-08	NA	0	0	0	NA	AN_too_low
AC017028.1	2	0.0	113528	0	ENST00000396489	1.4252e-07	113528.236842105	0	0	0	NA	
AC017104.2	2	0.0	111129	0	ENST00000370380	1.2095e-07	111129.084886128	0	0	0	NA	
AC018470.1	2	0.0	69958	0	ENST00000595354	5.6660e-07	69958.96	0	0	0	NA	
AC018755.1	19	0.0	112475	0	ENST00000301439	2.2615e-07	112475.592689295	0	0	0	NA	
AC018816.3	3	0.0	106124	0	ENST00000449914	3.1121e-07	106124.345821326	0	0	0	NA	
AC018867.1	2	0.0	101237	0	ENST00000396985	2.3157e-08	101237.450199203	0	0	0	NA	
AC018867.2	2	0.0	103900	0	ENST00000595956	3.4622e-08	103900.987654321	0	0	0	NA	
AC019171.1	2	0.0	61224	0	ENST00000601251	1.9013e-07	61224.8910891089	0	0	0	NA	
AC019206.1	2	0.0	110283	0	ENST00000599032	8.7394e-10	110283.793103448	0	0	0	NA	
AC019294.1	15	NA	NA	NA	ENST00000543887	NA	NA	0	0	0	NA	AN_too_low
AC020907.1	19	NA	NA	NA	ENST00000313865	NA	NA	0	0	0	NA	AN_too_low
AC020922.1	19	0.0	97252	0	ENST00000539076	NA	97252.6588235294	0	0	0	NA	
AC021218.2	7	NA	NA	NA	ENST00000377722	1.5513e-07	NA	0	0	0	NA	AN_too_low
AC021860.1	4	NA	NA	NA	ENST00000436901	NA	NA	0	0	0	NA	AN_too_low
AC022400.2	10	0.0	106870	0	ENST00000595757	4.9838e-09	106870.134957826	0	0	0	NA	
AC022431.2	5	NA	NA	NA	ENST00000438651	2.2338e-07	NA	0	0	0	NA	AN_too_low
AC022498.1	3	0.0	60366	0	ENST00000392468	NA	60366.7142857143	0	0	0	NA	
AC022532.1	10	1.760938e-05	109848	1	ENST00000420338	2.5269e-07	109848.841698842	1.760938e-05	2.34016661986333e-05	0	NA	
AC023469.1	2	NA	NA	NA	ENST00000409243	1.9327e-07	NA	0	0	0	NA	AN_too_low
AC023590.1	8	NA	NA	NA	ENST00000366457	3.6752e-08	NA	0	0	0	NA	AN_too_low
AC023632.1	8	0.0	109826	0	ENST00000391679	NA	109826.849315068	0	0	0	NA	
AC024580.1	19	0.0	80998	0	ENST00000376271	2.4336e-07	80998	0	0	0	NA	
AC024592.12	19	8.791669999999999e-06	100729	0	ENST00000586349	2.2972e-07	100729.947229551	8.79167e-06	2.33819678264123e-05	0	NA	
AC024940.1	12	NA	NA	NA	ENST00000313737	NA	NA	0	0	0	NA	AN_too_low
AC025278.1	19	NA	NA	NA	ENST00000377296	NA	NA	0	0	0	NA	AN_too_low
AC025287.1	16	NA	NA	NA	ENST00000538623	2.1231e-07	NA	0	0	0	NA	AN_too_low
AC026202.1	3	3.40526e-05	85329	2	ENST00000600805	1.4755e-07	85329.4700854701	3.40526e-05	2.70489586150933e-05	0	NA	
